user_id,query_id,query_mode,query_subtype,query,method,selected_event_ids,selected_event_titles,selected_event_scores,gold_event_ids,supporting_event_recall,task_status_accuracy,top1_accuracy,top3_recall,NDCG@3,token_cost,llm_can_answer
u001,u001_q001,task,task_priority,我今天最该先补哪个项目任务？,recency_only,u001_e001|u001_e002|u001_e003,Course Project Presentation Prep|Research Demo Cleanup|Morning Fitness Routine,0.610969|0.46472|0.271738,u001_e001|u001_e002,1.0,1.0,1.0,1.0,1.0,292,1.0
u001,u001_q001,task,task_priority,我今天最该先补哪个项目任务？,similarity_only,u001_e001|u001_e002|u001_e003,Course Project Presentation Prep|Research Demo Cleanup|Morning Fitness Routine,0.0|0.0|0.0,u001_e001|u001_e002,1.0,1.0,1.0,1.0,1.0,292,1.0
u001,u001_q001,task,task_priority,我今天最该先补哪个项目任务？,recency_similarity_hybrid,u001_e001|u001_e002|u001_e003,Course Project Presentation Prep|Research Demo Cleanup|Morning Fitness Routine,0.274936|0.209124|0.122282,u001_e001|u001_e002,1.0,1.0,1.0,1.0,1.0,292,1.0
u001,u001_q001,task,task_priority,我今天最该先补哪个项目任务？,proposed_TMT_decay_event_memory,u001_e001|u001_e002|u001_e003,Course Project Presentation Prep|Research Demo Cleanup|Morning Fitness Routine,1.0|0.843833|0.649216,u001_e001|u001_e002,1.0,1.0,1.0,1.0,1.0,292,1.0
u001,u001_q002,task,task_due,有哪些未完成且快到 ddl 的事情？,recency_only,u001_e001|u001_e002|u001_e003,Course Project Presentation Prep|Research Demo Cleanup|Morning Fitness Routine,0.610969|0.46472|0.271738,u001_e001|u001_e003,1.0,1.0,1.0,1.0,0.9385574520455129,292,1.0
u001,u001_q002,task,task_due,有哪些未完成且快到 ddl 的事情？,similarity_only,u001_e001|u001_e002|u001_e003,Course Project Presentation Prep|Research Demo Cleanup|Morning Fitness Routine,0.0|0.0|0.0,u001_e001|u001_e003,1.0,1.0,1.0,1.0,0.9385574520455129,292,1.0
u001,u001_q002,task,task_due,有哪些未完成且快到 ddl 的事情？,recency_similarity_hybrid,u001_e001|u001_e002|u001_e003,Course Project Presentation Prep|Research Demo Cleanup|Morning Fitness Routine,0.274936|0.209124|0.122282,u001_e001|u001_e003,1.0,1.0,1.0,1.0,0.9385574520455129,292,1.0
u001,u001_q002,task,task_due,有哪些未完成且快到 ddl 的事情？,proposed_TMT_decay_event_memory,u001_e001|u001_e002|u001_e003,Course Project Presentation Prep|Research Demo Cleanup|Morning Fitness Routine,1.0|0.843833|0.649216,u001_e001|u001_e003,1.0,1.0,1.0,1.0,0.9385574520455129,292,1.0
u001,u001_q003,chat,chat_preference,我做 slides 的风格偏好是什么？,recency_only,u001_e001|u001_e002|u001_e003,Course Project Presentation Prep|Research Demo Cleanup|Morning Fitness Routine,0.610969|0.46472|0.271738,u001_e001|u001_e002,1.0,,1.0,1.0,1.0,292,1.0
u001,u001_q003,chat,chat_preference,我做 slides 的风格偏好是什么？,similarity_only,u001_e001|u001_e002|u001_e003,Course Project Presentation Prep|Research Demo Cleanup|Morning Fitness Routine,0.02|0.0|0.0,u001_e001|u001_e002,1.0,,1.0,1.0,1.0,292,1.0
u001,u001_q003,chat,chat_preference,我做 slides 的风格偏好是什么？,recency_similarity_hybrid,u001_e001|u001_e002|u001_e003,Course Project Presentation Prep|Research Demo Cleanup|Morning Fitness Routine,0.285936|0.209124|0.122282,u001_e001|u001_e002,1.0,,1.0,1.0,1.0,292,1.0
u001,u001_q003,chat,chat_preference,我做 slides 的风格偏好是什么？,proposed_TMT_decay_event_memory,u001_e001|u001_e002|u001_e003,Course Project Presentation Prep|Research Demo Cleanup|Morning Fitness Routine,0.936358|0.826232|0.716436,u001_e001|u001_e002,1.0,,1.0,1.0,1.0,292,1.0
u001,u001_q004,chat,mixed,帮我结合时间和个人习惯安排今天上午的任务。,recency_only,u001_e001|u001_e002|u001_e003,Course Project Presentation Prep|Research Demo Cleanup|Morning Fitness Routine,0.610969|0.46472|0.271738,u001_e001|u001_e003,1.0,,1.0,1.0,0.9197207891481876,292,1.0
u001,u001_q004,chat,mixed,帮我结合时间和个人习惯安排今天上午的任务。,similarity_only,u001_e001|u001_e002|u001_e003,Course Project Presentation Prep|Research Demo Cleanup|Morning Fitness Routine,0.0|0.0|0.0,u001_e001|u001_e003,1.0,,1.0,1.0,0.9197207891481876,292,1.0
u001,u001_q004,chat,mixed,帮我结合时间和个人习惯安排今天上午的任务。,recency_similarity_hybrid,u001_e001|u001_e002|u001_e003,Course Project Presentation Prep|Research Demo Cleanup|Morning Fitness Routine,0.274936|0.209124|0.122282,u001_e001|u001_e003,1.0,,1.0,1.0,0.9197207891481876,292,1.0
u001,u001_q004,chat,mixed,帮我结合时间和个人习惯安排今天上午的任务。,proposed_TMT_decay_event_memory,u001_e001|u001_e002|u001_e003,Course Project Presentation Prep|Research Demo Cleanup|Morning Fitness Routine,0.921535|0.826232|0.716436,u001_e001|u001_e003,1.0,,1.0,1.0,0.9197207891481876,292,1.0
u002,u002_q001,task,task_priority,今天上线前我最该盯住什么？,recency_only,u002_e001|u002_e002|u002_e003,Beta Launch Checklist|Customer Interview Notes|Weekly Stakeholder Update,0.686812|0.502134|0.344991,u002_e001|u002_e002,1.0,1.0,1.0,1.0,1.0,285,1.0
u002,u002_q001,task,task_priority,今天上线前我最该盯住什么？,similarity_only,u002_e001|u002_e002|u002_e003,Beta Launch Checklist|Customer Interview Notes|Weekly Stakeholder Update,0.0|0.0|0.0,u002_e001|u002_e002,1.0,1.0,1.0,1.0,1.0,285,1.0
u002,u002_q001,task,task_priority,今天上线前我最该盯住什么？,recency_similarity_hybrid,u002_e001|u002_e002|u002_e003,Beta Launch Checklist|Customer Interview Notes|Weekly Stakeholder Update,0.309065|0.22596|0.155246,u002_e001|u002_e002,1.0,1.0,1.0,1.0,1.0,285,1.0
